days_elapsed,date_applied,status
29,2023-11-11,Rejected
126,2023-08-06,👻
81,2023-09-20,Rejected
15,2023-11-25,Rejected
25,2023-11-15,Applied and waiting
218,2023-05-06,👻
129,2023-08-03,Rejected
7,2023-12-03,Rejected
218,2023-05-06,Rejected
129,2023-08-03,👻
29,2023-11-11,Rejected
28,2023-11-12,👻
43,2023-10-28,Rejected
15,2023-11-25,Rejected
109,2023-08-23,Rejected
28,2023-11-12,Applied and waiting
38,2023-11-02,👻
187,2023-06-06,Rejected
42,2023-10-29,👻
226,2023-04-28,Rejected
45,2023-10-26,👻
76,2023-09-25,👻
187,2023-06-06,👻
109,2023-08-23,👻
38,2023-11-02,👻
187,2023-06-06,👻
136,2023-07-27,Rejected
179,2023-06-14,Rejected
44,2023-10-27,👻
83,2023-09-18,Rejected
173,2023-06-20,👻
38,2023-11-02,Rejected
144,2023-07-19,Rejected
44,2023-10-27,👻
28,2023-11-12,Applied and waiting
45,2023-10-26,👻
29,2023-11-11,Applied and waiting
29,2023-11-11,👻
43,2023-10-28,👻
34,2023-11-06,👻
29,2023-11-11,Applied and waiting
142,2023-07-21,👻
40,2023-10-31,Rejected
44,2023-10-27,👻
173,2023-06-20,👻
28,2023-11-12,Applied and waiting
2,2023-12-08,Applied and waiting
123,2023-08-09,Rejected
33,2023-11-07,Applied and waiting
45,2023-10-26,Rejected
81,2023-09-20,👻
15,2023-11-25,Rejected
41,2023-10-30,Rejected
44,2023-10-27,👻
9,2023-12-01,Applied and waiting
9,2023-12-01,Applied and waiting
2,2023-12-08,Applied and waiting
198,2023-05-26,Rejected
28,2023-11-12,Rejected
88,2023-09-13,Rejected
42,2023-10-29,👻
194,2023-05-30,👻
194,2023-05-30,👻
29,2023-11-11,Applied and waiting
29,2023-11-11,Applied and waiting
137,2023-07-26,Rejected
29,2023-11-11,Applied and waiting
15,2023-11-25,Applied and waiting
28,2023-11-12,Applied and waiting
173,2023-06-20,👻
28,2023-11-12,Applied and waiting
3,2023-12-07,Applied and waiting
129,2023-08-03,👻
9,2023-12-01,Applied and waiting
29,2023-11-11,Applied and waiting
28,2023-11-12,Applied and waiting
173,2023-06-20,👻
173,2023-06-20,👻
